days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
5,IFN-gamma,36,18,18,1620.562778,271.5344444,2.833903978,1.847549782,3.284561368,1.804614137,1.254481699,0.683123302,0.001552564,2.577287787,0.005169015
6,IFN-gamma,40,20,20,1108.122,71.6785,2.689672203,1.624077113,2.984040976,1.679632902,1.171338269,0.626247607,3.29E-05,3.950432468,1.65E-04
7,IFN-gamma,34,17,17,647.5705882,63.71411765,2.29047573,1.532402956,2.54034199,1.564073979,1.189324008,0.795506659,0.004250251,3.345352479,0.020225871
8,IFN-gamma,34,17,17,429.6958824,45.72411765,2.197161507,1.364264567,2.447530124,1.314077992,0.97069022,0.771081732,0.001153512,3.232288717,0.004973005
9,IFN-gamma,28,16,12,342.875,42.395,1.985245579,1.462768227,2.173226391,1.624525153,0.959411339,0.643493377,0.073540005,3.015716686,0.271234648
10,IFN-gamma,34,18,16,264.9722222,38.185,1.829664523,1.407024642,1.907335779,1.405491438,0.934806221,0.647948717,0.05472179,2.794763197,0.164165369
-10,IL-10,9,1,8,1.08,2.36,0.033423755,0.059626538,0.033423755,-0.117463899,0,0.741322367,0.888888889,-1.127755547,0.957264957
-9,IL-10,13,4,9,2.6975,1.936666667,0.291205927,0.03983847,0.233448632,-0.080921908,0.618843245,0.534728018,0.33006993,0.478047297,0.876345159
-8,IL-10,22,9,13,3.88,1.727692308,0.279916766,0.145925301,0.133538908,0.130333768,0.959645932,0.275679355,0.694769008,1.167210348,0.925782801
-7,IL-10,29,14,15,3.015,2.43,0.179628383,0.12176587,0.04930456,-0.026872146,0.567370463,0.663222796,0.714829556,0.311201688,0.938852814
-6,IL-10,26,10,16,2.752,3.210625,0.253033348,0.286976336,0.262133134,0.269003939,0.490812195,0.473430747,0.938175568,-0.222373699,0.978972735
-5,IL-10,25,8,17,3.89625,1.692941176,0.33073504,0.125313018,0.257393374,0.086359831,0.792740671,0.437157955,0.287865382,1.202554404,0.688429218
-4,IL-10,31,12,19,4.221666667,3.464210526,0.408102192,0.361840292,0.324862093,0.367355921,0.416819416,0.542447188,0.85742473,0.285286063,0.952255301
